Adrenal Gland Fever,Adrenals,"20,10000,12000,",XTRA
Adrenal Gland Stimulant 1,Adrenals,"10,20,2250,",CAFL
Adrenal Gland Toxicity,Adrenals,"20,10000,12000,",XTRA
Adrenal Hyperplasia,Adrenals,"220,970,52500,93500,236420,376290,426900,571000,813000,932000,",KHZ
Adrenoleukodystrophy,,"190,750,900,5160,30000,229320,434250,564280,714820,978050,",KHZ
Adverse Drug Reaction,,"200,140,330,420,440,550,520,760,780,1860,",XTRA
Adynamia Geriatric 1,,"60,27.5,",CAFL
Adynamia Geriatric 2,,"27,27.5,35,60,",CAFL
Adynamia Geriatric 3,,"49,56,",ODD
Afibrinogenemia,Blood,"150,180,2500,322060,458500,515050,684810,712420,995380,",KHZ
Aflatoxin 1,,"177000,",HC
Aflatoxin 1,,"344,438.74,474,476,510,568,943,8812.30,9359.96,11079.69,",XTRA
Aflatoxin 2,,"438.74,466,8812.30,9359.96,",XTRA
Aflatoxin,Liver,"344,510,943,474,476,568,",CAFL
Aflatoxin,,"344,",VEGA
African Lymphoma,,"50,570,850,52500,119340,375030,425710,434500,642910,985900,",XTRA
African Trypanosomiasis,,"656,988,780,",CAFL
Agammaglobulinemia,,"120,800,22500,90000,175000,451170,517500,683000,712230,992000,",KHZ
Agitation,,"3,7.83,",XTRA
Agnosia,,"120,5620,67500,93500,222700,425000,522530,689930,752630,923700,",KHZ
Agyfla,,"175.99,3534.88,",XTRA
Aicardi Syndrome,,"780,8000,92500,125000,355080,452590,515160,687620,712810,997870,",KHZ
AIDS 0,Immune System,"727,787,880,2489,3175,3275,3375,3475,5000,",CAFL
AIDS 1,Immune System,"2489,465,727,787,880,1500,1.2,31000,31750,34750,",CAFL
AIDS 2,Immune System,"1.44,1550,1500,249,418,727,787,880,2489,3100,3175,3475,",CAFL
AIDS 3,Immune System,"2.88,249,418,727,787,880,1500,1550,2489,3100,3175,3475,",CAFL
AIDS Kaposi's Sarcoma,,"249,418,",BIO
AIDS,,"150,5580,22000,30000,47500,360590,365000,388900,434000,456110,",XTRA
AIDS/HIV,,"180,240,22000,30000,47500,162820,365000,388900,434000,456110,",XTRA
Airsickness,,"90,10570,30420,88310,109500,257680,346270,344200,572000,792330,",XTRA
Akathisia,,"3,7.83,230,",XTRA
Alagille Syndrome,,"80,800,950,22500,57500,175000,419340,563190,813960,983170,",KHZ
Alcoholism 1,Liver,"10000,",CAFL
Alcoholism 2,Liver,"727,787,880,10000,",CAFL
Alcoholism,,"10000,",XTRA
Aldrich Syndrome,,"200,770,2530,3400,5590,95870,175910,343920,425870,571400,",XTRA
Alertness Increase,,"10,",XTRA
Alexander Disease,,"140,780,2500,97500,357770,475050,527000,657110,749000,987230,",KHZ
Alignment of Individual,,"20,60,95,125,225,427,440,660,727,787,800,880,5000,10000,",XTRA
Alkalosis,,"50,750,2250,72500,110250,379930,424370,561930,642060,978050,",KHZ
Alkaptonuria,,"70,400,7500,55000,96500,376290,426900,571000,822000,937410,",KHZ
Allergic Granulomatous Angiitis,,"190,520,750,1780,13930,110530,380000,447500,728980,825270,",XTRA
Allergies 1,,"2.3,72,300,333,444,522,555.1,727,787,880,5000,10000,",CAFL
Allergies 2,,"3,330,727,740,787,880,1234,1550,5000,7344,10000,",CAFL
Allergy Pollen,,"14514.12,14882.62,14930.22,",XTRA
Allergy,,"40,370,650,800,2500,25580,52500,192500,375790,926060,",XTRA
Alopecia 1,,"3,20,28,95,146,330,465,727,787,800,880,1552,2170,2720,5000,10000,15000,",XTRA
Alopecia Hair,,"20,10000,880,787,727,465,146,800,1552,",CAFL
Alopecia 2,,"60,5070,95000,275050,455820,515160,684810,712230,993410,",KHZ
Alopecia 3,,"60,5070,95000,127630,275050,455820,515160,684810,712230,993410,",XTRA
Alpha 1-Antitrypsin Deficiency,,"40,120,7500,40000,132410,342060,419340,560000,642910,930120,",KHZ
Alpha Streptococcus 1,,"916.51,941.92,955.3,11554.69,11875,12043.75,",XTRA
Alpha Streptococcus 2,,"916.51,929.52,955.3,11554.69,11718.75,12043.75,",XTRA
Alpha Streptococcus 3,,"929.52,941.92,18670.15,18919.09,",XTRA
Alpha-Mannosidosis,,"750,7500,57500,122530,269710,479500,527000,667000,742000,986220,",KHZ
Alphavirus Infections,,"120,780,12710,55000,90000,175050,425000,571000,822000,932000,",KHZ
ALS2,Nerve,"5000,3636,2632,1850,1500,1488,1422,1189,1044,922,868,845,822,788,776,766,742,733,721,676,654,625,620,607,608,609,610,611,612,613,595,515,487,461,435,423,380,322,283,232,144,136,20,",CAFL
ALS 3,Nerve,"2900,",CAFL
ALS 4,Nerve,"10000,5000,2900,2750,2700,2145,938,862,841,777,766,741,739,688,682,660,572,532,520,477,442,433,344,343,342,338,324,322,253,242,112,",CAFL
Alternaria Tenuis,,"853,",VEGA
Alternaria Tenuis,,"304,853,",XTRA
Aluminum 1,,"15950,",XTRA
Aluminum 2,,"554.67,597.95,",XTRA
Alveolitis Fibrosing,,"650,410,620,4970,7500,15310,87500,325930,385900,504370,",XTRA
Alzheimer Disease,,"110,7500,67500,92500,377910,453720,515160,688290,712000,995380,",KHZ
Alzheimers 1,Brain,"430,620,624,840,866,5148,2213,19180.5,742.4,303,23.2,",CAFL
Alzheimers 1,,"23.19,303,430,470.89,471.66,620,624,742.39,840,866,941.79,943.29,2213,3767.3,3773.3,5148,19180.5,",XTRA
Alzheimers 2,,"430,620,624,840,866,2213,5148,19180.5,",XTRA
Alzheimers 3,,"2213,5148,19180.5,",XTRA
Alzheimers 4,,"6,23.19,30,33,254,303,430,470,484,610,620,624,644,690,742.39,790,864,866,986,1918,2213,2900,5148,",XTRA
Alzheimers,,"1.45,",XTRA
Amaurosis Fugax,,"180,780,2500,85000,37500,110250,175000,352930,495000,",KHZ
Amblyopia,,"50,700,2500,67500,125050,322060,536420,655200,752630,924370,",KHZ
Amenorrhea,Menstruation,"10000,880,1550,802,787,760,727,465,20,",CAFL
Amino AcidMetabolism,,"170,2500,20000,92500,310250,450000,517500,687620,712230,993410,",KHZ
Amnesia,Brain,"70,2250,87500,92500,275000,432410,564280,640000,978050,",KHZ
Amniotic BandSyndrome,,"70,180,5620,37500,100000,275160,525710,655200,750000,926700,",KHZ
Amoeba General,,"310,333,532,732,769,827,1522,",CAFL
Amoeba Hepar Abscess,Liver,"344,",BIO
Amoeba,,"310,333,532,732,827,1522,",BIO
Amoebiasis,,"520,2500,40000,95000,376290,476500,527000,665340,752700,987230,",KHZ
Amoebic Dysentery,Intestines,"148,166,308,393,631,778,",CAFL
Amphibian Diseases,,"70,10830,5810,57500,125050,376290,419340,560000,642910,930120,",KHZ
Amyloidosis,,"60,10830,7500,322530,452590,519680,689410,712000,833210,995380,",KHZ
AmyotoniaCongenita,,"40,350,6790,52250,115780,234250,342120,472500,551220,657710,",XTRA
Amyotrophic Lateral Sclerosis 1,Nerve,"20,2500,60000,95000,225330,479500,527000,667000,742000,985670,",KHZ
Amyotrophic Lateral Sclerosis 2,Nerve,"254,484,610,692,980,644,660,690,727.5,790,864,986,2900,",XTRA
Anal Itching,Anus,"10000,880,787,760,727,465,125,120,95,72,444,1865,20,773,826,827,835,4152,",CAFL
Analgesia,,"40,570,10530,95050,210250,424370,563190,707260,985900,",KHZ
Analgesic,,"10,",XTRA
Anankastic Personality Disorder,,"190,750,1420,5250,25510,42570,162210,492830,671510,808530,",XTRA
Anaphylaxis,Skin,"10000,",CAFL
Anaphylaxis,,"140,750,2500,65000,87300,236420,400000,561930,714820,978050,",KHZ
Anaplasma Lyme,,"387,",CUST
Anaplasma Marginale 1,,"957.78,959.27,961.75,12075,12093.75,12125,",XTRA
Anaplasma Marginale 2,,"959.27,1046.02,19267.59,21010.13,",XTRA
Anaplasma Marginale 3,,"1029.43,1046.02,1050.99,12978.12,13187.5,13250,",XTRA
Anaplasmosis,,"100,240,800,15200,32500,97500,322060,377910,492500,723000,",KHZ
Ancylostoma Braziliense,,"985.54,993.98,999.55,12425,12531.25,12601.55,",XTRA
Ancylostoma Caninum 1,,"949.61,991.5,998.69,11971.87,12500,12590.62,",XTRA
Androgen Insensitivity Syndrome,,"60,7500,67500,95000,376290,475050,527000,665340,761850,987230,",KHZ
Anemia Aplastic,Blood,"650,7500,2500,62500,150000,319340,425330,571000,823000,937410,",KHZ
Anemia Hemolytic,Blood,"20,120,5160,62500,110250,332410,517500,684810,712230,992000,",KHZ
Anemia Iron-Deficiency,Blood,"100,320,2500,57200,125000,175000,525710,682020,759830,932410,",KHZ
Anemia Megaloblastic,Blood,"110,300,370,93500,224370,376290,475050,527000,657110,753230,",KHZ
Anemia,Blood,"80,550,5970,23000,50500,80500,97530,210500,533210,909260,",KHZ
Anemia,Blood,"5000,",XTRA
Anencephaly,Brain,"110,490,1000,2250,30000,97500,325710,342060,750000,934250,",KHZ
Aneurysm,Veins,"880,787,760,727,465,125,95,72,444,1865,20,727,",CAFL
Aneurysm,,"150,780,2500,67500,222530,458500,518920,688290,712810,997870,",KHZ
Angelman Syndrome,,"200,7500,27500,95330,375160,419340,567700,642060,980000,",KHZ
Anger and Irritability,,"3.6,6.3,",CAFL
Angina Pectoris,Heart,"3,230,2720,2170,1800,1600,1500,880,832,787,776,727,465,444,1865,125,95,72,20660,7.83,",CAFL
Angina Pectoris,Heart,"100,680,830,42200,92500,225000,534200,779000,882100,911090,",KHZ
Angina Throat,Throat,"333,428,465,660,727,776,787,804,806.5,",CAFL
Angina,Heart,"787,776,727,465,428,660,",CAFL
Angioedema,Skin,"120,520,800,5070,15000,90000,375050,410250,564280,824960,",KHZ
Angiofibroma,Skin,"160,620,7500,65330,175000,434250,563190,642910,930120,",KHZ
Angiolymphoid Hyperplasia with Eosinophilia,Skin,"100,1000,12330,5500,45000,234510,475160,527000,752700,987230,",KHZ
Angiomyxoma,,"50,310,1590,5030,7290,125440,462520,625910,732500,815030,",XTRA
Anima/Soul,,"420.82,",XTRA
Animal Diseases,,"50,570,870,2500,5810,92500,424370,561930,709830,985900,",KHZ
Aniridia,Eye,"70,240,680,830,2500,157000,357300,451170,517500,687620,",KHZ
Anisakiasis,,"40,230,780,5620,15050,35330,67500,125000,225000,733000,",KHZ
Anisocoria,,"120,570,830,2500,5330,65000,93500,325160,515050,884810,",KHZ
Ankyloglossia,,"80,780,5810,67500,350000,475000,527000,665340,742000,985670,",KHZ
Ankylosing Spondylitis,Spine,"3000,95,1550,802,880,787,776,727,650,625,600,28,10,35,28,7.69,2.4,110,100,60,428,680,",CAFL
Anomia,,"520,800,7500,37500,175330,275000,379930,450000,519680,883000,",KHZ
Anophthalmos,Eye,"120,970,5050,7000,40000,222700,425160,571000,824000,932000,",KHZ
Anosmia,Nose,"20,10000,",CAFL
Anoxia,,"80,850,2500,43000,97230,175000,388000,791000,853000,972100,",KHZ
Anthracinum,,"633,",BIO
Anthrax,Skin Luns Intestines 1,"500,633,1365,768,414,900,",CAFL
Anthrax,Skin Lung Intestines 2,"70,680,930,5500,11090,119340,150000,175330,545000,705000,",XTRA
Anti-Glomerular Basement Membrane Disease,Lung Kidney,"170,950,10530,2500,125090,375160,525710,650000,752630,923700,",KHZ
Antidepressive,,"172.06,",XTRA
Antimony 121sb,,"509.39,549.13,11684.56,",XTRA
Antimony 123sb,,"275.86,297.37,12655.27,",XTRA
Antiphospholipid Syndrome,,"50,730,1550,13390,22500,247000,391000,571000,827000,937410,",KHZ
Antiseptic General,,"428,444,450,465,660,727,760,787,802,880,1550,5000,",CAFL
Antithrombin III Deficiency,,"50,650,1000,5620,7000,377910,400000,563190,642060,985900,",KHZ
Anus Diseases,Anus,"50,600,2250,7500,97500,475000,527000,667000,752700,986220,",KHZ
Anxiety Disorders,,"80,620,870,5810,225000,423070,572000,727330,841120,903910,",KHZ
Anxiety,,"40,60,1800,304,6130,",XTRA
Aortic Valve Stenosis,Heart,"30,250,900,13520,150000,275330,510250,655200,759830,926700,",KHZ
Aphasia,Brain,"140,620,850,12850,5070,453720,515090,684810,712810,993410,",KHZ
Aphthovirus,,"232,237,558.37,585.91,1116.75,1171.83,1214,1243,1244,1271,5411,",XTRA
Apnea,Sleep,"60,830,970,5160,20000,65000,476500,527000,742000,987230,",KHZ
Apoplexy,,"20,40,72,333,428,522,555.1,600,625,727,787,880,1800,1865,",CAFL
Appendicitis,Appendix,"1550,802,880,787,727,444,380,190,10,650,444,522,125,95,72,20,522,146,440,450,",CAFL
Appendicitis,Appendix,"140,460,7500,50000,93500,376290,524370,652430,752630,922530,",XTRA
Appetite Lack Of,,"20,72,444,465,727,787,880,1865,10000,",CAFL
Apraxias,Brain,"600,1000,5000,247880,365800,454370,515160,689410,712000,997870,",KHZ
Aprosodia,Brain,"180,1070,4830,15250,58210,109420,237210,387020,434270,611050,",XTRA
Arachnoid Cysts,,"160,600,900,2500,3000,125090,225330,344500,490000,56000,807220,",KHZ
Arachnoiditis,,"160,600,850,2500,7500,35000,87500,479500,527000,665340,",KHZ
Araneae Thrush,,"727,787,880,",XTRA
Arbovirus Infections,,"70,680,2330,35000,87500,476500,527000,667000,753230,987230,",KHZ
Aremes Tennus,,"667,",BIO
Argentaffinoma,,"50,520,600,930,12690,125000,269710,434030,571000,839000,",XTRA
Arm Injuries,,"180,900,5500,13930,55160,250000,425090,571000,827000,932000,",KHZ
Arnica,,"1042,",BIO
Arnold-Chiari Malformation,,"60,830,2500,20000,65000,207460,479930,527000,749000,986220,",KHZ
Arrhythmia Cardiac,,"900,780,830,7500,8000,225330,510250,689930,750000,936420,",KHZ
Arrhythmia Cardiac,,"90,780,830,7500,8000,225330,510250,689930,750000,936420,",XTRA
Arrhythmogenic Right Ventricular Dysplasia,,"50,400,850,2750,5000,55160,269710,555300,707000,825500,",KHZ
Arsenic Aib,,"562,",VEGA
Arsenic as,,"364.56,393,16724.61,",XTRA
Arsenic Poisoning,,"100,830,5500,52500,342060,458500,515090,687620,712230,995380,",KHZ
Arteriosclerosis,Veins,"10000,2720,2170,1800,1600,1500,880,787,776,727,20,",CAFL
Arteriosclerosis,,"70,730,5000,7250,92500,352930,451170,519680,684810,712810,",KHZ
Arteriovenous Malformations,,"100,830,12330,5070,12710,225000,519340,655200,752630,923700,",KHZ
Artery Plaque,,"4632,5364,5885,",XTRA
Artery Stimulator,,"727,787,800,880,",XTRA
Arthritis1,,"962,727,787,880,1550,802,1664,80,60,40,30,25,26,20,10,5000,10000,7.69,3,1.2,28,",CAFL
Arthritis2,,"1.19,1.5,3,7,6.9,7.7,9.39,9.4,10,20,25,26,28,30,40,60,80,100,120,230,250,512,660,690,728,770,787,802,880,1500,1550,1664,2720,3000,3176,5000,10000,",XTRA
Arthritis Arthralgia Due to Gout,,"9.39,",CAFL
Arthritis Arthrosis and Parathyroid Disturbances Affecting Calcium Metabolism,,"9.6,",CAFL
Arthritis General,,"10000,5000,2720,1664,1550,962,880,802,800,787,776,766,727,688,683,650,625,600,120,20,",CAFL
Arthritis Gout,,"9.39,9.4,20,660,690,727.5,787,880,3000,10000,",XTRA
Arthritis Juvenile Chronic,,"60,780,7500,40000,398400,476500,527000,665340,761850,987230,",XTRA
Arthritis Juvenile Rheumatoid,,"60,780,7500,40000,275090,476500,527000,665340,761850,987230,",KHZ
Arthritis Post-infectious,,"60,650,800,5810,42500,398400,410000,571000,828000,937410,",XTRA
Arthritis Reactive,,"60,650,800,5810,42500,275000,410000,571000,828000,937410,",KHZ
Arthritis Rheumatoid 1,,"2.4,250,262,600,625,650,727,751,",CAFL
Arthritis Rheumatoid 2,,"190,1000,2800,17500,45000,225000,510250,682020,759830,932410,",KHZ
Arthritis Rheumatoid 3,,"1.19,250,262,600,625,650,727,766,787,",XTRA
Arthritis Rheumatoid 4,,"190,1000,2800,17500,398400,225000,510250,682020,759830,932410,",XTRA
Arthritis Secondary,,"2720,1000,1500,770,",CAFL
Arthritis,,"50,750,900,9000,11090,55330,325160,425710,642910,980000,",KHZ
Arthritis,,"1664,",XTRA
Arthritis,,"50,750,900,9000,11090,55330,398400,425710,642910,980000,",XTRA
Arthrogryposis,,"190,570,830,2250,5090,67500,96500,325160,424370,566410,",KHZ
Arthropathy Neurogenic,,"110,5330,7000,15000,125000,350000,425000,571000,828000,932000,",KHZ
Arthropod Diseases,,"60,850,7800,25000,52500,275090,426900,571000,829000,937410,",KHZ
Asbestos in Lungs,,"5111,",PROV
Asbestosis,,"40,970,7500,87500,175330,475160,527000,657110,742000,985670,",KHZ
Ascariasis,,"60,1330,5270,10890,90000,379930,425000,571000,829000,932000,",KHZ
Ascaris Larvae,,"1003.64,1011.33,1014.17,12653.12,12750,12785.94,",XTRA
Ascites 1,,"70,4160.24920,37500,31907,37605,31000,39167,18667,34577,",CUST
Ascites 2,,"43379.96875,43380.03125,43380,41989.96875,4190.03125,41990,19009.96875,19010.13125,19010,18949.96875,18950.03125,18950,",CUST
Ascites,,"70,520,6230,37500,355080,475090,527000,667000,789000,987230,",KHZ
Ascorbic Acid Deficiency,,"50,730,2950,47500,222530,452590,517500,683000,712000,993410,",KHZ
Asian Grippe A,Lung,"516,656,434,",CAFL
Asperger Syndrome,,"40,400,2500,10530,47500,210250,518920,688290,712230,916000,",KHZ
Aspergillosis,Lung,"120,830,5000,7250,37500,357300,434250,563190,709830,978050,",XTRA
Aspergillus Flavus,Lung,"1823,247,1972,",CAFL
Aspergillus Flavus,Lung,"1823,",VEGA
Aspergillus Glaucus,,"524,",BIO
Aspergillus Niger,,"374,",BIO
Aspergillus Terreus,Lung,"743,339,",CAFL
Asphyxia,Lung,"30,700,2500,5070,40000,72500,125000,275160,829000,937410,",KHZ
Asthma 1,Lung,"1283,1233,4.7,",CAFL
Asthma 1,Lung,"0.5,20,72,95,125,146,444,522,727,787,880,1233,1283,1500,1600,1800,2170,2720,",XTRA
Asthma 2,Lung,"1234,3672,7346,727,787,880,10000,47,120,",CAFL
Asthma 3,Lung,"0.5,20,72,95,125,146,444,522,660,690,727.5,787,810,880,1233,1234,1283,1500,1600,1800,1865,2170,2720,",XTRA
Asthma 4,Lung,"4.7,1233,1234,1283,3672,7344,",XTRA
Asthma 5,Lung,"727,787,880,1500,1600,1800,2170,2720,",XTRA
Asthma Bronchial,Lung,"8,943,548,",XTRA
Asthma V,Lung,"3125,3124,890,886,871,822,782,756,712,665,633,521,515,487,434,411,322,263,172,128,",CAFL
Asthma 6,Lung,"1233,1283,",BIO
Asthma 7,Lung,"7344,3702,3672,2720,2170,1800,1600,1500,1283,1234,1233,880,787,727,522,444,146,125,95,72,20,0.5,",CAFL
Asthma 8,,"570,900,2500,3000,27500,95750,125000,150000,534200,871000,",XTRA
Astigmatism,,"600,900,12330,7500,12710,55000,234510,325710,491000,667900,",KHZ
Astral Projection,,"6.30,63,",XTRA
Astral Travel,,"40,22,",XTRA
Astrocytoma,Brain,"7.69,8.25,9.19,20,543,641,666,690,857,2127,2170,",PROV
Astrocytoma,,"857,",VEGA
Astrocytoma,,"20,570,9000,12850,45000,92500,175750,450000,515160,689410,",XTRA
Ataxia General,Nerve,"20,72,444,600,625,650,727,776,787,806.5,814,880,1500,1600,1800,1865,2170,2720,",CAFL
Ataxia Spastic,Nerve,"9.19,8.25,7.69,",CAFL
Ataxia Telangiectasia,,"130,650,19900,42500,376290,452590,522390,687620,712420,995380,",KHZ
Atelectasis Pulmonary,,"50,730,950,5000,17500,37500,322060,563190,714820,930120,",XTRA
Atherosclerosis,,"134,223,333,345,411,423,425,436,446,453,470.89,471.66,479,542,554,563,572,573,574,576,620,643,668,686,716,718,738,786,787,934,940,941.79,943.29,958,1544,1577,1880,1886,2323,2431,3343,3760.3,3767.3,3773.3,4710.5,7160,7520.5,7543.39,20443.5,",XTRA
Athletes Foot,Feet,"20,379,727,787,880,5000,644,766,464,802,1552,9999,20,379,727,787,880,5000,644,766,464,802,1552,9999,3176,304,",CAFL
Atrial Fibrillation,,"80,730,970,5750,37500,85090,96500,125160,325000,377910,",KHZ
Atrophy Muscular  Peroneal,,"190,1220,4330,17250,63210,119420,287210,403030,435000,711170,",XTRA
Attention Deficit Disorder with Hyperactivity,,"10,250,460,320,520,750,42500,87500,132410,376290,",KHZ
Attention Deficit Disorder 1,,"428,444,450,465,470,471,621,660,727,760,762,769,770,787,802,832,880,940.1,942.9,1550,1880,1885.9,3760.3,3771.7,5000,7520.5,",CAFL
Attention Deficit Disorder 2,,"10,",XTRA
Attention Deficit Disorder 3,,"40,250,460,320,520,750,42500,87500,132410,376290,",XTRA
Auricular Cancer,,"80,120,850,85030,119340,350000,434330,691270,759830,927100,",XTRA
Autism,,"47,48,49,75,214,317,342,443,467,521,552,712,725,727,745,747,757,763,783,787,880,962,1489,1902,4202.3,5333.69,9887,14164.1,15952.79,19007.15,19007.2,19169.38,19516.29,21822.15,",XTRA
Autistic Disorder,,"30,250,650,930,13520,7500,95000,322530,454370,517500,",KHZ
Auto Intoxication,,"20,333,522,555.1,727,787,800,880,1550,10000,",CAFL
Autoimmune Diseases,,"240,5090,32500,75850,95750,175000,250000,456000,784000,927000,",KHZ
Autoimmune Disorders,Immune System,"3,7.7,9.4,9.6,20,28,156,250,522,600,625,650,727,776,787,802,808,1550,10000,",CAFL
Autointoxication,,"522,146,1550,10000,800,880,787,727,20,",CAFL
Autonomic Nervous System Diseases,,"50,370,830,2750,3000,70000,95090,175160,275000,357300,",KHZ
Avian Influenza,,"170,240,750,970,5620,30000,62500,93500,150000,872000,",KHZ
Avitaminosis,,"40,260,460,7500,37500,57500,100000,210250,436420,561930,",KHZ
Awakening Epilepsy,,"70,180,730,870,5710,7250,22500,97500,375350,500000,",XTRA
B Coli Rod,,"727,787,800,803,21875,800,8020,13031.25,21343.75,943,19869.63,12453.12,",XTRA
B Coli Virus,,"27,1552,11939.05,12031.25,16759.77,17220,21686.38,",XTRA
B Subtilis,,"432,722,822,1246,",VEGA
B-Cell Lymphoma,,"410,930,2750,17500,35670,87500,93500,236420,434000,519340,",XTRA
Babesia Lyme,,"76,570,753,1583,1584,5776,650,",CUST
Babesia,Blood,"76,570,1583,1584,432,753,5776,",PROV
Babesiosis,,"40,180,700,900,7500,45750,71500,95000,219340,379930,",KHZ
Babesiosis,,"76,432,570,753,1583,1584,5776,",XTRA
